"lgID", "tmID", "name"
"ABA","SSL","Spirits of St. Louis"
"NBA","NOJ","New Orleans Jazz"
"NBA","WSB","Washington Bullets"
"ABA","SDS","San Diego Sails"
"NBA","KCK","Kansas City Kings"
"NBA","DEN","Denver Nuggets"
"NBA","IND","Indiana Pacers"
"NBA","NYN","New York Nets"
"NBA","SAS","San Antonio Spurs"
"NBA","NJN","New Jersey Nets"
"NBA","SDC","San Diego Clippers"
"NBA","UTA","Utah Jazz"
"NBA","DAL","Dallas Mavericks"
"NBA","LAC","Los Angeles Clippers"
"NBA","SAC","Sacramento Kings"
"NBA","CHH","Charlotte Hornets"
"NBA","MIA","Miami Heat"
"NBA","MIN","Minnesota Timberwolves"
"NBA","ORL","Orlando Magic"
"NBA","BOS","Boston Celtics"
"NBA","TOR","Toronto Raptors"
"NBA","VAN","Vancouver Grizzlies"
"NBA","WAS","Washington Wizards"
"NBA","MEM","Memphis Grizzlies"
"NBA","NOH","New Orleans Hornets"
"NBA","CHA","Charlotte Bobcats"
"NBA","NOK","NO/Oklahoma City Hornets"
"NBA","OKC","Oklahoma City Thunder"
"ABL1","CHM","Chicago Majors"
"ABL1","KCS","Kansas City Steers"
"ABL1","LBC","Long Beach Chiefs"
"ABL1","OAO","Oakland Oaks"
"ABL1","PGR","Pittsburgh Rens"
"ABL1","PHT","Philadelphia Tapers"
"ABL1","CLP","Cleveland Pipers"
"ABL1","HAW","Hawaii Chiefs"
"ABL1","LAJ","Los Angeles Jets"
"ABL1","SFS","San Francisco Saints"
"ABL1","WNY","Washington/New York Tapers"
"NPBL","AND","Anderson Packers"
"NPBL","DNN","Denver Refiners"
"NPBL","EVA","Evansville Agogans"
"NPBL","GRH","Grand Rapids Hornets"
"NPBL","KCH","Kansas City Hi-Spots"
"NPBL","LOA","Louisville Alumnites"
"NPBL","SHE","Sheboygan Redskins"
"NPBL","SPL","St. Paul Lights"
"NPBL","WAT","Waterloo Hawks"
"NBL","AND","Anderson Duffey Packers"
"NBL","DAY","Dayton Rens"
"NBL","DNN","Denver Nuggets"
"NBL","DTK","Detroit Vagabond Kings"
"NBL","HCB","Hammond Calumet Buccaneers"
"NBL","OSH","Oshkosh All-Stars"
"NBL","SHE","Sheboygan Redskins"
"NBL","SYR","Syracuse Nationals"
"NBL","TRI","Tri-Cities Blackhawks"
"NBL","WAT","Waterloo Hawks"
"NBL","FNT","Flint/Midland Dow A.C.'s"
"NBL","FTW","Fort Wayne Zollner Pistons"
"NBL","INK","Indianapolis Kautskys"
"NBL","MNL","Minneapolis Lakers"
"NBL","ROC","Rochester Royals"
"NBL","TOL","Toledo Jeeps"
"PBLA","ATC","Atlanta Crackers"
"PBLA","BIR","Birmingham Skyhawks"
"PBLA","CHG","Chicago Gears"
"PBLA","CHT","Chattanooga Majors"
"PBLA","GRR","Grand Rapids Rangers"
"PBLA","HMV","Houston Mavericks"
"PBLA","KCB","Kansas City Blues"
"PBLA","LOU","Louisville Colonels"
"PBLA","NOL","New Orleans Hurricanes"
"PBLA","OKD","Oklahoma City Drillers"
"PBLA","OMA","Omaha Tomahawks"
"PBLA","SPR","Springfield Squires"
"PBLA","STJ","St. Joseph Outlaws"
"PBLA","STP","St. Paul Saints"
"PBLA","TUL","Tulsa Ranchers"
"PBLA","WAT","Waterloo Hawks"
"NBL","CHG","Chicago American Gears"
"NBL","DTG","Detroit Gems"
"NBL","YOU","Youngstown Bears"
"NBL","CAT","Cleveland Allmen Transfers"
"NBL","PTR","Pittsburgh Raiders"
"NBL","CCB","Cleveland Chase Brassmen"
"NBL","CHF","Chicago Studebaker Flyers"
"NBL","TCH","Toledo Jim White Chevrolets"
"NBL","AGW","Akron Goodyear Wingfoots"
"NBL","CHB","Chicago Bruins"
"NBL","AFS","Akron Firestone Non-Skids"
"NBL","DTE","Detroit Eagles"
"NBL","HAM","Hammond Ciesar All-Americans"
"NBL","CWH","Warren Penns/Cleveland White Horses"
"NBL","PGP","Pittsburgh Pirates"
"NBL","BFB","Buffalo Bisons"
"NBL","CNC","Richmond King Clothiers/Cincinnati Comellos"
"NBL","COL","Columbus Athletic Supply"
"NBL","DYM","Dayton Metropolitans"
"NBL","FWE","Fort Wayne General Electrics"
"NBL","KNK","Kankakee Gallagher Trojans"
"NBL","WAR","Warren Penns"
"NBL","WHT","Whiting Ciesar All-Americans"
