"bioID","firstName","middleName","lastName","fullGivenName","nameSuffix","nameNick","pos","height","weight","college","birthDate","birthCity","birthState","birthCountry","highSchool","hsCity","hsState","hsCountry","deathDate","race"
"baxtelo01","Lonny","Leroy","Baxter","","","","F","79","260","Maryland","1979-07-27","Silver Spring","MD","USA","Montgomery / Anacostia / Hargrave","Rockville / Washington / Chatham","MD / DC / VA","USA","0000-00-00","B"
"bayloel01","Elgin","Gay","Baylor","","","Rabbit","F","77","225","Seattle","1934-09-16","Washington","DC","USA","Spingarn / Phelps Vocational","Washington","DC","USA","0000-00-00","B"
"bayneho01","Howard","Edgar","Bayne","","","","F","78","235","Tennessee","1942-07-28","(ht) Dayton","OH","USA","Colonel White","Dayton","OH","USA","0000-00-00","W"
"bazarse01","Sergei","Valeryanovich","Bazarevich","","","","G","74","162","State Academy of Phys Ed.","1965-03-16","Moscow","","RUS","","","","","0000-00-00","W"
"beardra01","Ralph","Milton","Beard","","Jr.","","G","70","175","Kentucky","1927-12-02","Hardinsburg","KY","USA","Male","Louisville","KY","USA","2007-11-29","W"
"beaslje01","Jerome","","Beasley","","","","F","81","237","North Dakota","1980-05-17","Compton","CA","USA","Moreno Valley","Moreno Valley","CA","USA","0000-00-00","B"
"beasljo01","John","Michael","Beasley","","","","F-C","81","225","Texas A&M","1944-02-05","Texarkana","TX","USA","Linden-Kildare","Kildare","TX","USA","0000-00-00","W"
"beatyze01","Zelmo","","Beaty","","Jr.","Big Z, Mr. Clean","C","81","225","Prairie View A&M","1939-10-25","Hillister","TX","USA","Woodville","Woodville","TX","USA","0000-00-00","B"
"beckco01","Corey","Laveon","Beck","","","","G","73","190","Arkansas","1971-05-27","Memphis","TN","USA","Fairley","Memphis","TN","USA","0000-00-00","B"
"bedfowi01","William","","Bedford","","","","C","84","225","Memphis State","1963-12-14","Memphis","TN","USA","Melrose","Memphis","TN","USA","0000-00-00","B"
"behnkel01","Elmer","H.","Behnke","","","","C","79","210","Bradley","1929-02-03","Rockford","IL","USA","Marengo","Marengo","IL","USA","0000-00-00","W"
"bellch01","Charlie","Will","Bell","","III","","G","75","200","Michigan State","1979-03-12","Flint","MI","USA","Southwestern Academy","Flint","MI","USA","0000-00-00","B"
"bellde01","Dennis","R.","Bell","","","","F","77","185","Drake","1951-06-02","Cincinnati","OH","USA","Wyoming","Cincinnati","OH","USA","0000-00-00","B"
"bellra01","Raja","","Bell","","","","G","77","210","Florida International","1976-09-19","St. Croix","","ISV","Killian","Miami","FL","USA","0000-00-00","B"
"belltr01","Troy","Devon","Bell","","","","G","73","180","Boston College","1980-11-10","Minneapolis","MN","USA","Academy of Holy Angels","Richfield","MN","USA","0000-00-00","B"
"benbole01","Leon","","Benbow","","","","G","76","185","Jacksonville","1950-07-23","Columbia","SC","USA","Booker T. Washington","Columbia","SC","USA","0000-00-00","B"
"bendejo01","Jonathan","Rene","Bender","","","","F","83","198","none","1981-01-30","Picayune","MS","USA","Picayune Memorial","Picayune","MS","USA","0000-00-00","B"
"benjaco01","Corey","Dwight","Benjamin","","","","G","78","200","Oregon State","1978-02-24","Compton","CA","USA","Fontana","Fontana","CA","USA","0000-00-00","B"
"benneel01","Elmer","James","Bennett","","","","G","72","170","Notre Dame","1970-02-13","Evanston","IL","USA","Bellaire","Bellaire","TX","USA","0000-00-00","B"
"bennema01","Mario","Marcell","Bennett","","","","F","81","220","Arizona State","1973-08-01","Denton","TX","USA","Denton","Denton","TX","USA","0000-00-00","B"
"bennewi01","Winston","George","Bennett","","III","Steady Bee","F","79","210","Kentucky","1965-02-09","Louisville","KY","USA","Male","Louisville","KY","USA","0000-00-00","B"
"benoida01","David","","Benoit","","","","F","80","220","Alabama","1968-05-09","Lafayette","LA","USA","Lafayette","Lafayette","LA","USA","0000-00-00","B"
"bensoke02","Keith","A.","Benson","","Jr.","","F-C","83","230","Oakland","1988-08-13","Cleveland","OH","USA","Detroit Country Day","Beverly Hills","MI","USA","0000-00-00","B"
"bergega01","Gary","Dean","Bergen","","","","C","80","210","Utah","1932-07-16","Independence","MO","USA","William Chrisman","Independence","MO","USA","0000-00-00","W"
"berghla01","Larry","Clifford","Bergh","","","","F","79.5","210","Weber State","1945-04-02","(ht) Walla Walla","WA","USA","DeSales","Walla Walla","WA","USA","0000-00-00","W"
"berryri01","Ricky","Alan","Berry","","","","F","80","205","San Jose State","1964-10-06","Lansing","MI","USA","Live Oak","Morgan Hill","CA","USA","1989-08-14","B"
"berrywa01","Walter","","Berry","","","Truth","F","80","215","St. John's (NY)","1964-05-14","New York","NY","USA","Morris/Clinton/Franklin","Bronx / Bronx / Brooklyn","NY","USA","0000-00-00","B"
"besttr01","Travis","Eric","Best","","","","G","71","182","Georgia Tech","1972-07-12","Springfield","MA","USA","Springfield Central","Springfield","MA","USA","0000-00-00","B"
"biedran01","Andris","","Biedrins","","","","F","83","240","none","1986-04-02","Riga","","LAT","Valters Basketball School","Riga","","LAT","0000-00-00","1"
"billuch01","Chauncey","Ray","Billups","","","","G","75","202","Colorado","1976-09-25","Denver","CO","USA","George Washington","Denver","CO","USA","0000-00-00","B"
"biniojo01","Joe","","Binion","","","","F","80","225","North Carolina A&T","1961-03-26","Rochester","NY","USA","Madison","Rochester","NY","USA","0000-00-00","B"
"birdje01","Jerry","Lee","Bird","","","","F","78","200","Kentucky","1935-02-02","Corbin","KY","USA","Corbin","Corbin","KY","USA","0000-00-00","W"
"birdla01","Larry","Joe","Bird","","","","F-G","81","220","Indiana State","1956-12-07","West Baden","IN","USA","Springs Valley","French Lick","IN","USA","0000-00-00","W"
"birdsot01","Otis","Lee","Birdsong","","","Bird","G","75","190","Houston","1955-12-09","Winter Haven","FL","USA","Winter Haven","Winter Haven","FL","USA","0000-00-00","B"
"blabuw01","Uwe","Konstantine","Blab","","","","C","85","250","Indiana","1962-03-26","Munich","","GER","Effingham","Effingham","IL","USA","0000-00-00","W"
"blackco01","Cory","","Blackwell","","","","F","78","210","Wisconsin","1963-03-27","Chicago","IL","USA","Crane Tech","Chicago","IL","USA","0000-00-00","B"
"blackja01","James","","Blackwell","","","","G","72","190","Dartmouth","1968-02-25","Mount Kisco","NY","USA","Fox Lane / Deerfield Academy","Bedford / Deerfield","NY / MA","USA","0000-00-00","B"
"blackno01","Norman","Augustus","Black","","","","G","77","185","St. Joseph's (PA)","1957-11-12","Baltimore","MD","USA","Cardinal Gibbons","Baltimore","MD","USA","0000-00-00","B"
"blackro01","Rolando","Antonio","Blackman","","","Ro","G","78","190","Kansas State","1959-02-26","Panama City","","PAN","William E. Grady Vocational","Brooklyn","NY","USA","0000-00-00","B"
"blanege01","George","R.","Blaney","","","","G","73","175","Holy Cross","1939-11-12","Jersey City","NJ","USA","St. Peter's Prep","Jersey City","NJ","USA","0000-00-00","W"
"blankla01","Lance","","Blanks","","","","G","76","190","Texas","1966-09-09","Del Rio","TX","USA","McCullough","The Woodlands","TX","USA","0000-00-00","B"
"blantri01","Ricky","Wayne","Blanton","","","","F","79","215","Louisiana State","1966-04-21","Miami","FL","USA","Killian","Miami","FL","USA","0000-00-00","W"
"blatcan01","Andray","","Blatche","","","","F","83","235","none","1986-08-22","Syracuse","NY","USA","South Kent Prep / Henninger","South Kent / Syracuse","CT / NY","USA","0000-00-00","B"
"bledser01","Eric","","Bledsoe","","","","G","73","195","Kentucky","1989-12-09","Birmingham","AL","USA","Parker","Birmingham","AL","USA","0000-00-00","B"
"blevile01","Leon","Gravette","Blevins","","","","G","74","160","Arizona","1926-06-25","","","","Union","Phoenix","AZ","USA","0000-00-00","W"
"blockjo01","John","William","Block","","Jr.","","F-C","81","207","USC","1944-04-16","Los Angeles","CA","USA","Glendale","Glendale","CA","USA","0000-00-00","W"
